##event_type	event_id	chr	strand	e1	e2	e3	e4	alt_transcript_supports	event_coordinate
CAS	chr17:+:MAP3K3:CAS:0	chr17	+	61710041:61710162	61712069:61712161	61723394:61723434	N/A	NM_002401,NM_203351	chr17:61710041-61723434
AFE	chr17:+:MAPK7:AFE:0	chr17	+	19281034:19281414	19281774:19281855	19282209:19282445	N/A	NM_139033,NM_139034	chr17:19281034-19282445
AFE	chr17:+:MAPK7:AFE:1	chr17	+	19281034:19281414	19281774:19281943	19282209:19282445	N/A	NM_139033,NM_002749	chr17:19281034-19282445
CAS	chr17:+:MAPT:CAS:0	chr17	+	44055741:44055806	44060544:44061296	44064406:44064461	N/A	NM_001123067,NM_001123066;NM_001123067,NM_016835;NM_001203251,NM_001123066;NM_001203251,NM_016835;NM_001203252,NM_001123066;NM_001203252,NM_016835;NM_005910,NM_001123066;NM_005910,NM_016835;NM_016834,NM_001123066;NM_016834,NM_016835;NM_016841,NM_001123066;NM_016841,NM_016835	chr17:44055741-44064461
CAS	chr17:+:MAPT:CAS:1	chr17	+	44064406:44064461	44067244:44067441	44068826:44068952	N/A	NM_001123067,NM_001123066;NM_001123067,NM_016835;NM_001203251,NM_001123066;NM_001203251,NM_016835;NM_001203252,NM_001123066;NM_001203252,NM_016835;NM_005910,NM_001123066;NM_005910,NM_016835;NM_016834,NM_001123066;NM_016834,NM_016835;NM_016841,NM_001123066;NM_016841,NM_016835	chr17:44064406-44068952
CAS	chr17:+:MAPT:CAS:2	chr17	+	44068826:44068952	44071290:44071343	44073765:44074030	N/A	NM_001123067,NM_001123066;NM_001203251,NM_001123066;NM_001203252,NM_001123066;NM_005910,NM_001123066;NM_016834,NM_001123066;NM_016835,NM_001123066;NM_016841,NM_001123066	chr17:44068826-44074030
CAS	chr17:+:MAPT:CAS:3	chr17	+	44073765:44074030	44087676:44087768	44091609:44091690	N/A	NM_001203251,NM_001123066;NM_001203251,NM_001123067;NM_001203251,NM_005910;NM_001203251,NM_016834;NM_001203251,NM_016835;NM_001203252,NM_001123066;NM_001203252,NM_001123067;NM_001203252,NM_005910;NM_001203252,NM_016834;NM_001203252,NM_016835;NM_016841,NM_001123066;NM_016841,NM_001123067;NM_016841,NM_005910;NM_016841,NM_016834;NM_016841,NM_016835	chr17:44073765-44091690
A3SS	chr17:-:MARCH10:A3SS:0	chr17	-	60837196:60837367	60821737:60821889	60821737:60821886	N/A	NM_001288780,NM_001100875;NM_001288780,NM_152598	chr17:60821737-60837367
AFE	chr17:-:MARCH10:AFE:0	chr17	-	60885438:60885742	60883791:60884014	60879007:60879113	N/A	NM_001288779,NM_001100875;NM_152598,NM_001100875	chr17:60879007-60885742
A3SS	chr17:-:MED24:A3SS:0	chr17	-	38210614:38210889	38209722:38209910	38209722:38209888	N/A	NM_001267797,NM_001079518;NM_014815,NM_001079518;NR_052017,NM_001079518	chr17:38209722-38210889
AFE	chr17:+:MFSD11:AFE:0	chr17	+	74732647:74733173	74733583:74733965	74734364:74734530	N/A	NM_001242534,NM_024311	chr17:74732647-74734530
AFE	chr17:+:MFSD11:AFE:1	chr17	+	74732647:74733173	74733583:74734058	74734364:74734530	N/A	NM_001242534,NM_001242535;NM_001242534,NM_001242537	chr17:74732647-74734530
AFE	chr17:+:MFSD11:AFE:2	chr17	+	74732647:74733173	74733583:74734247	74734364:74734530	N/A	NM_001242534,NM_001242533;NM_001242534,NM_001242536	chr17:74732647-74734530
A3SS	chr17:+:MGAT5B:A3SS:0	chr17	+	74928727:74928857	74934064:74934225	74934070:74934225	N/A	NM_144677,NM_001199172;NM_198955,NM_001199172	chr17:74928727-74934225
AFE	chr17:+:MGC57346:AFE:0	chr17	+	43697712:43697738	43697981:43698518	43699274:43699407	N/A	NR_026680,NR_027295	chr17:43697712-43699407
AFE	chr17:+:MIEF2:AFE:0	chr17	+	18163848:18164051	18164424:18164475	18166028:18166181	N/A	NM_001144900,NM_148886;NM_139162,NM_148886	chr17:18163848-18166181
A3SS	chr17:-:MIF4GD:A3SS:0	chr17	-	73266195:73266326	73265428:73265550	73265428:73265529	N/A	NM_001242500,NM_001242498;NM_020679,NM_001242498	chr17:73265428-73266326
CAS	chr17:+:MINK1:CAS:0	chr17	+	4795444:4795529	4795697:4795807	4795951:4796063	N/A	NM_015716,NM_001024937;NM_015716,NM_153827;NM_170663,NM_001024937;NM_170663,NM_153827	chr17:4795444-4796063
CAS	chr17:+:MINK1:CAS:1	chr17	+	4796274:4796362	4796581:4796604	4796729:4796892	N/A	NM_001024937,NM_170663;NM_015716,NM_170663;NM_153827,NM_170663	chr17:4796274-4796892
A3SS	chr17:+:MINK1:A3SS:0	chr17	+	4794246:4794419	4794751:4795011	4794811:4795011	N/A	NM_001024937,NM_015716;NM_001024937,NM_153827;NM_001024937,NM_170663	chr17:4794246-4795011
AFE	chr17:+:MIS12:AFE:0	chr17	+	5389694:5389740	5390213:5390365	5391516:5391909	N/A	NM_001258219,NM_024039	chr17:5389694-5391909
AFE	chr17:+:MIS12:AFE:1	chr17	+	5389694:5390004	5390213:5390365	5391516:5391909	N/A	NM_001258217,NM_024039	chr17:5389694-5391909
AFE	chr17:-:MKS1:AFE:0	chr17	-	56296823:56296966	56296512:56296666	56295981:56296090	N/A	NM_001165927,NM_017777	chr17:56295981-56296966
CAS	chr17:+:MLX:CAS:0	chr17	+	40719637:40719673	40720488:40720577	40720855:40720961	N/A	NM_198205,NM_170607;NM_198205,NM_198204	chr17:40719637-40720961
A3SS	chr17:-:MMP28:A3SS:0	chr17	-	34095249:34095398	34094771:34094938	34094771:34094908	N/A	NR_111988,NM_024302;NR_111988,NM_032950	chr17:34094771-34095398
A3SS	chr17:+:MPDU1:A3SS:0	chr17	+	7489050:7489115	7489264:7489396	7489269:7489396	N/A	NR_024603,NM_004870	chr17:7489050-7489396
AFE	chr17:-:MPP2:AFE:0	chr17	-	41978652:41978930	41977839:41978001	41975630:41975748	N/A	NM_001278375,NM_001278376	chr17:41975630-41978930
AFE	chr17:-:MPP2:AFE:1	chr17	-	41984842:41985310	41977839:41978001	41975630:41975748	N/A	NM_001278373,NM_001278376	chr17:41975630-41985310
AFE	chr17:-:MPP2:AFE:2	chr17	-	41984842:41985310	41978652:41978930	41975630:41975748	N/A	NM_001278373,NM_001278375	chr17:41975630-41985310
AFE	chr17:-:MPP2:AFE:3	chr17	-	41986910:41987079	41977839:41978001	41975630:41975748	N/A	NM_001278371,NM_001278376	chr17:41975630-41987079
AFE	chr17:-:MPP2:AFE:4	chr17	-	41986910:41987079	41978652:41978930	41975630:41975748	N/A	NM_001278371,NM_001278375	chr17:41975630-41987079
AFE	chr17:-:MPP2:AFE:5	chr17	-	41986910:41987079	41984842:41985310	41975630:41975748	N/A	NM_001278371,NM_001278373	chr17:41975630-41987079
AFE	chr17:-:MPP2:AFE:6	chr17	-	41986910:41987079	41984842:41985310	41981798:41981861	N/A	NM_001278370,NM_001278372;NM_001278370,NM_001278374;NM_001278370,NM_005374	chr17:41981798-41987079
CAS	chr17:-:MPP3:CAS:0	chr17	-	41895414:41895478	41894045:41894065	41893406:41893447	N/A	NR_003562,NM_001932	chr17:41893406-41895478
CAS	chr17:+:MPRIP:CAS:0	chr17	+	17083317:17083402	17083921:17083983	17088137:17095962	N/A	NM_015134,NM_201274	chr17:17083317-17095962
CAS	chr17:+:MRPL45:CAS:0	chr17	+	36474586:36474634	36476502:36476651	36478009:36478182	N/A	NM_001278279,NM_032351	chr17:36474586-36478182
ALE	chr17:-:MXRA7:ALE:0	chr17	-	74681154:74681247	74675651:74676961	74671809:74673784	N/A	NM_001008528,NM_198530	chr17:74671809-74681247
CAS	chr17:-:MYH10:CAS:0	chr17	-	8438705:8438819	8433941:8434003	8424410:8424603	N/A	NM_001256095,NM_001256012;NM_005964,NM_001256012	chr17:8424410-8438819
A3SS	chr17:-:MYH10:A3SS:0	chr17	-	8480554:8480656	8479961:8479990	8479961:8479987	N/A	NM_001256095,NM_001256012	chr17:8479961-8480656
AFE	chr17:-:MYH2:AFE:0	chr17	-	10452953:10453017	10452876:10452940	10452692:10452734	N/A	NM_017534,NM_001100112	chr17:10452692-10453017
CAS	chr17:-:MYO18A:CAS:0	chr17	-	27413456:27413595	27412622:27412666	27409334:27409456	N/A	NM_203318,NM_078471	chr17:27409334-27413595
AFE	chr17:-:MYO1C:AFE:0	chr17	-	1394894:1394972	1388988:1389051	1387442:1387597	N/A	NM_033375,NM_001080950	chr17:1387442-1394972
AFE	chr17:-:MYO1C:AFE:1	chr17	-	1395707:1396001	1388988:1389051	1387442:1387597	N/A	NM_001080779,NM_001080950	chr17:1387442-1396001
AFE	chr17:-:MYO1C:AFE:2	chr17	-	1395707:1396001	1394894:1394972	1387442:1387597	N/A	NM_001080779,NM_033375	chr17:1387442-1396001
CAS	chr17:+:MYOCD:CAS:0	chr17	+	12655731:12656663	12659731:12659874	12661402:12661530	N/A	NM_153604,NM_001146312	chr17:12655731-12661530
CAS	chr17:+:NARF:CAS:0	chr17	+	80417868:80417948	80422163:80422306	80426640:80426772	N/A	NM_001083608,NM_001038618;NM_001083608,NM_012336;NM_001083608,NM_031968	chr17:80417868-80426772
CAS	chr17:+:NARF:CAS:1	chr17	+	80438958:80439087	80441043:80441180	80441592:80441655	N/A	NM_001038618,NM_031968;NM_001083608,NM_031968;NM_012336,NM_031968	chr17:80438958-80441655
AFE	chr17:+:NARF:AFE:0	chr17	+	80416060:80416384	80416540:80416706	80417868:80417948	N/A	NM_001038618,NM_001083608;NM_001038618,NM_012336;NM_001038618,NM_031968	chr17:80416060-80417948
CAS	chr17:+:NBR1:CAS:0	chr17	+	41327808:41327918	41329953:41330015	41331411:41331429	N/A	NM_001291572,NM_001291571;NM_001291572,NM_005899;NM_001291572,NM_031862	chr17:41327808-41331429
AFE	chr17:+:NBR1:AFE:0	chr17	+	41322488:41322628	41322987:41323319	41327808:41327918	N/A	NM_031862,NM_001291571;NM_031862,NM_001291572;NM_031862,NM_005899	chr17:41322488-41327918
ALE	chr17:+:NBR1:ALE:0	chr17	+	41355698:41355803	41361576:41361876	41361920:41363708	N/A	NM_005899,NM_001291571;NM_031862,NM_001291571	chr17:41355698-41363708
A5SS	chr17:-:NCOR1:A5SS:0	chr17	-	15965072:15965208	15964715:15965208	15961785:15961913	N/A	NM_001190440,NM_006311	chr17:15961785-15965208
A3SS	chr17:-:NCOR1:A3SS:0	chr17	-	16012100:16012226	16004564:16005119	16004564:16005071	N/A	NM_006311,NM_001190438;NM_006311,NM_001190440	chr17:16004564-16012226
CAS	chr17:+:NDEL1:CAS:0	chr17	+	8363327:8363478	8366638:8366672	8370248:8371495	N/A	NM_030808,NM_001025579	chr17:8363327-8371495
A5SS	chr17:-:NEURL4:A5SS:0	chr17	-	7226273:7226442	7226267:7226442	7226054:7226185	N/A	NM_001005408,NM_032442	chr17:7226054-7226442
A5SS	chr17:+:NKIRAS2:A5SS:0	chr17	+	40174417:40174490	40174417:40174658	40175672:40177656	N/A	NM_001144928,NM_001001349;NM_001144928,NM_001144927;NM_001144928,NM_017595	chr17:40174417-40177656
A3SS	chr17:+:NKIRAS2:A3SS:0	chr17	+	40172087:40172222	40173563:40173689	40173582:40173689	N/A	NM_001144928,NM_001144927;NM_001144929,NM_001144927;NM_017595,NM_001144927	chr17:40172087-40173689
AFE	chr17:+:NKIRAS2:AFE:0	chr17	+	40169594:40169644	40172087:40172222	40173582:40173689	N/A	NM_001001349,NM_001144928;NM_001001349,NM_001144929;NM_001001349,NM_017595	chr17:40169594-40173689
CAS	chr17:-:NLRP1:CAS:0	chr17	-	5424844:5425106	5424201:5424332	5421066:5421207	N/A	NM_014922,NM_001033053;NM_014922,NM_033004;NM_014922,NM_033006;NM_033007,NM_001033053;NM_033007,NM_033004;NM_033007,NM_033006	chr17:5421066-5425106
CAS	chr17:-:NLRP1:CAS:1	chr17	-	5442735:5442905	5440171:5440260	5437217:5437308	N/A	NM_033006,NM_001033053;NM_033006,NM_014922;NM_033006,NM_033004;NM_033007,NM_001033053;NM_033007,NM_014922;NM_033007,NM_033004	chr17:5437217-5442905
A5SS	chr17:-:NLRP1:A5SS:0	chr17	-	5436624:5436704	5436612:5436704	5436142:5436304	N/A	NM_014922,NM_001033053;NM_033004,NM_001033053;NM_033006,NM_001033053;NM_033007,NM_001033053	chr17:5436142-5436704
CAS	chr17:+:NME1:CAS:0	chr17	+	49230920:49231023	49231586:49231805	49233012:49233141	N/A	NM_000269,NM_198175	chr17:49230920-49233141
CAS	chr17:+:NME1-NME2:CAS:0	chr17	+	49230897:49231023	49231586:49231805	49233012:49233141	N/A	NM_001018136,NR_037149	chr17:49230897-49233141
CAS	chr17:+:NME2:CAS:0	chr17	+	49245603:49245704	49247298:49247410	49248848:49249105	N/A	NM_001198682,NM_001018137;NM_001198682,NM_001018138;NM_001198682,NM_001018139;NM_001198682,NM_002512	chr17:49245603-49249105
AFE	chr17:+:NME2:AFE:0	chr17	+	49242796:49243042	49243633:49243858	49244188:49244317	N/A	NM_001018137,NM_001198682;NM_001018137,NM_002512	chr17:49242796-49244317
AFE	chr17:+:NME2:AFE:1	chr17	+	49242796:49243042	49243862:49243924	49244188:49244317	N/A	NM_001018137,NM_001018139	chr17:49242796-49244317
AFE	chr17:+:NME2:AFE:2	chr17	+	49243633:49243858	49243862:49243924	49244188:49244317	N/A	NM_001198682,NM_001018139;NM_002512,NM_001018139	chr17:49243633-49244317
CAS	chr17:+:NSF:CAS:0	chr17	+	44703979:44704078	44707777:44707816	44714742:44714908	N/A	NR_040116,NM_006178	chr17:44703979-44714908
A5SS	chr17:+:NSF:A5SS:0	chr17	+	44832680:44832735	44832680:44832739	44833168:44834828	N/A	NM_006178,NR_040116	chr17:44832680-44834828
CAS	chr17:+:NSRP1:CAS:0	chr17	+	28443825:28443881	28445098:28445191	28499560:28499616	N/A	NM_001261467,NM_032141	chr17:28443825-28499616
AFE	chr17:-:NXN:AFE:0	chr17	-	882559:882998	767255:767351	729201:729318	N/A	NM_022463,NM_001205319	chr17:729201-882998
CAS	chr17:-:OGFOD3:CAS:0	chr17	-	80356072:80356195	80352207:80352419	80347086:80350410	N/A	NM_024648,NM_175902;NM_024648,NR_033265	chr17:80347086-80356195
A5SS	chr17:-:OGFOD3:A5SS:0	chr17	-	80373282:80373503	80373274:80373503	80369331:80369406	N/A	NR_033265,NM_024648;NR_033265,NM_175902	chr17:80369331-80373503
CAS	chr17:-:P2RX5:CAS:0	chr17	-	3594938:3595088	3594250:3594321	3593899:3593974	N/A	NM_001204520,NM_001204519;NM_001204520,NM_002561;NM_175080,NM_001204519;NM_175080,NM_002561	chr17:3593899-3595088
A3SS	chr17:-:P2RX5:A3SS:0	chr17	-	3593364:3593444	3592786:3592924	3592786:3592921	N/A	NM_001204519,NM_001204520;NM_001204519,NM_002561;NM_175080,NM_001204520;NM_175080,NM_002561	chr17:3592786-3593444
CAS	chr17:-:PCYT2:CAS:0	chr17	-	79865430:79865474	79865080:79865133	79864636:79864774	N/A	NM_001256433,NM_001184917;NM_001256433,NM_001256434;NM_001256435,NM_001184917;NM_001256435,NM_001256434;NM_001282203,NM_001184917;NM_001282203,NM_001256434;NM_001282204,NM_001184917;NM_001282204,NM_001256434;NM_002861,NM_001184917;NM_002861,NM_001256434	chr17:79864636-79865474
A3SS	chr17:-:PCYT2:A3SS:0	chr17	-	79867390:79867478	79866752:79866913	79866752:79866911	N/A	NM_001256434,NM_001184917;NM_001256434,NM_001282204;NM_001256434,NM_002861	chr17:79866752-79867478
A3SS	chr17:-:PCYT2:A3SS:1	chr17	-	79867390:79867478	79866752:79867197	79866752:79866911	N/A	NM_001256434,NM_001256435;NM_001256434,NM_001282203	chr17:79866752-79867478
A3SS	chr17:-:PCYT2:A3SS:2	chr17	-	79867390:79867478	79866752:79867197	79866752:79866913	N/A	NM_001184917,NM_001256435;NM_001184917,NM_001282203;NM_001282204,NM_001256435;NM_001282204,NM_001282203;NM_002861,NM_001256435;NM_002861,NM_001282203	chr17:79866752-79867478
AFE	chr17:-:PCYT2:AFE:0	chr17	-	79869143:79869353	79868777:79869115	79867390:79867478	N/A	NM_001184917,NM_001282203;NM_001184917,NM_001282204;NM_001256433,NM_001282203;NM_001256433,NM_001282204;NM_001256434,NM_001282203;NM_001256434,NM_001282204;NM_001256435,NM_001282203;NM_001256435,NM_001282204;NM_002861,NM_001282203;NM_002861,NM_001282204	chr17:79867390-79869353
CAS	chr17:-:PDE6G:CAS:0	chr17	-	79623523:79623607	79620190:79620394	79618675:79618715	N/A	NR_026872,NM_002602	chr17:79618675-79623607
AFE	chr17:+:PDK2:AFE:0	chr17	+	48172639:48172917	48173059:48173174	48174787:48174928	N/A	NM_001199900,NM_001199899;NM_002611,NM_001199899	chr17:48172639-48174928
CAS	chr17:-:PELP1:CAS:0	chr17	-	4594183:4594288	4586325:4586406	4586098:4586247	N/A	NM_014389,NM_001278241	chr17:4586098-4594288
CAS	chr17:-:PEMT:CAS:0	chr17	-	17412748:17412859	17410483:17410513	17409541:17409615	N/A	NM_001267551,NM_001267552;NM_007169,NM_001267552;NM_148172,NM_001267552;NM_148173,NM_001267552	chr17:17409541-17412859
AFE	chr17:-:PEMT:AFE:0	chr17	-	17485581:17485745	17480728:17480779	17480234:17480341	N/A	NM_007169,NM_148173	chr17:17480234-17485745
AFE	chr17:-:PEMT:AFE:1	chr17	-	17494845:17495017	17480728:17480779	17480234:17480341	N/A	NM_001267552,NM_148173;NM_148172,NM_148173	chr17:17480234-17495017
AFE	chr17:-:PEMT:AFE:2	chr17	-	17494845:17495017	17485581:17485745	17480234:17480341	N/A	NM_001267552,NM_007169;NM_148172,NM_007169	chr17:17480234-17495017
AFE	chr17:-:PEMT:AFE:3	chr17	-	17494911:17495017	17480728:17480779	17480234:17480341	N/A	NM_001267551,NM_148173	chr17:17480234-17495017
AFE	chr17:-:PEMT:AFE:4	chr17	-	17494911:17495017	17485581:17485745	17480234:17480341	N/A	NM_001267551,NM_007169	chr17:17480234-17495017
A5SS	chr17:+:PGS1:A5SS:0	chr17	+	76415627:76415756	76415627:76415806	76420142:76420740	N/A	NM_024419,NR_110602;NR_110601,NR_110602;NR_111989,NR_110602	chr17:76415627-76420740
A3SS	chr17:+:PGS1:A3SS:0	chr17	+	76374699:76374889	76388557:76388746	76388595:76388746	N/A	NR_110602,NM_024419;NR_110602,NR_110601	chr17:76374699-76388746
A3SS	chr17:+:PGS1:A3SS:1	chr17	+	76395429:76395618	76396758:76396936	76396816:76396936	N/A	NR_111989,NM_024419;NR_111989,NR_110601;NR_111989,NR_110602	chr17:76395429-76396936
A3SS	chr17:+:PGS1:A3SS:2	chr17	+	76399649:76400170	76410960:76411108	76411033:76411108	N/A	NR_110601,NM_024419;NR_110601,NR_110602;NR_110601,NR_111989	chr17:76399649-76411108
A3SS	chr17:-:PHF23:A3SS:0	chr17	-	7140704:7140796	7139249:7140086	7139249:7139885	N/A	NM_001284517,NM_001284518;NM_001284517,NM_024297	chr17:7139249-7140796
AFE	chr17:-:PHF23:AFE:0	chr17	-	7142565:7142825	7142105:7142249	7140948:7140979	N/A	NM_001284517,NM_001284518;NM_024297,NM_001284518	chr17:7140948-7142825
A3SS	chr17:-:PIK3R5:A3SS:0	chr17	-	8792456:8792539	8791488:8792270	8791488:8792208	N/A	NM_001142633,NM_001251851;NM_001251852,NM_001251851;NM_001251853,NM_001251851;NM_001251855,NM_001251851;NM_014308,NM_001251851	chr17:8791488-8792539
AFE	chr17:-:PIK3R5:AFE:0	chr17	-	8868913:8869029	8815781:8815834	8814709:8814824	N/A	NM_001142633,NM_014308;NM_001251851,NM_014308;NM_001251853,NM_014308;NM_001251855,NM_014308	chr17:8814709-8869029
CAS	chr17:-:PIK3R6:CAS:0	chr17	-	8707359:8707471	8706980:8707120	8706041:8706747	N/A	NM_001010855,NR_110865;NM_001290211,NR_110865	chr17:8706041-8707471
CAS	chr17:-:PIK3R6:CAS:1	chr17	-	8738590:8738773	8736206:8736362	8733023:8733109	N/A	NR_110865,NM_001010855;NR_110865,NM_001290211	chr17:8733023-8738773
A5SS	chr17:-:PIK3R6:A5SS:0	chr17	-	8741136:8741188	8741120:8741188	8740108:8740240	N/A	NR_110865,NM_001010855;NR_110865,NM_001290211	chr17:8740108-8741188
A5SS	chr17:-:PIK3R6:A5SS:1	chr17	-	8741881:8741972	8741613:8741972	8741120:8741188	N/A	NM_001010855,NM_001290211	chr17:8741120-8741972
A3SS	chr17:-:PIK3R6:A3SS:0	chr17	-	8740108:8740240	8739864:8740033	8739864:8739933	N/A	NM_001010855,NM_001290211;NR_110865,NM_001290211	chr17:8739864-8740240
CAS	chr17:+:PITPNC1:CAS:0	chr17	+	65671595:65671658	65683182:65683300	65688688:65693379	N/A	NM_012417,NM_181671	chr17:65671595-65693379
CAS	chr17:-:PITPNM3:CAS:0	chr17	-	6441307:6441402	6428676:6428783	6406847:6406894	N/A	NM_001165966,NM_031220	chr17:6406847-6441402
A5SS	chr17:+:PLD2:A5SS:0	chr17	+	4722724:4722844	4722724:4722877	4725088:4725202	N/A	NM_001243108,NM_002663	chr17:4722724-4725202
A5SS	chr17:-:PLEKHH3:A5SS:0	chr17	-	40821961:40822394	40821936:40822394	40821448:40821639	N/A	NR_073573,NM_024927;NR_073574,NM_024927	chr17:40821448-40822394
A5SS	chr17:-:PLEKHH3:A5SS:1	chr17	-	40823021:40823148	40823012:40823148	40822591:40822723	N/A	NR_073574,NM_024927;NR_073574,NR_073573	chr17:40822591-40823148
A3SS	chr17:-:PLEKHH3:A3SS:0	chr17	-	40825194:40825314	40824104:40824410	40824104:40824230	N/A	NR_073574,NM_024927;NR_073574,NR_073573	chr17:40824104-40825314
AFE	chr17:-:PLEKHH3:AFE:0	chr17	-	40828420:40829048	40827919:40828108	40826372:40826427	N/A	NM_024927,NR_073574;NR_073573,NR_073574	chr17:40826372-40829048
CAS	chr17:-:PLEKHM1:CAS:0	chr17	-	43552466:43553092	43545575:43545959	43535535:43535805	N/A	NR_027782,NM_014798;NR_027782,NR_027774	chr17:43535535-43553092
CAS	chr17:-:PLEKHM1:CAS:1	chr17	-	43559803:43559891	43555266:43555513	43552466:43553092	N/A	NR_027774,NM_014798;NR_027774,NR_027782	chr17:43552466-43559891
A3SS	chr17:-:PLSCR3:A3SS:0	chr17	-	7297796:7298162	7297423:7297586	7297423:7297478	N/A	NM_001201576,NM_020360	chr17:7297423-7298162
A3SS	chr17:-:PMP22:A3SS:0	chr17	-	15168471:15168674	15163967:15164078	15163967:15164074	N/A	NM_001281456,NM_000304	chr17:15163967-15168674
AFE	chr17:-:PMP22:AFE:0	chr17	-	15168471:15168674	15163967:15164161	15162411:15162510	N/A	NR_104017,NM_153322	chr17:15162411-15168674
AFE	chr17:-:PMP22:AFE:1	chr17	-	15168471:15168674	15165742:15165906	15163967:15164078	N/A	NM_000304,NM_001281455	chr17:15163967-15168674
AFE	chr17:-:PMP22:AFE:2	chr17	-	15168471:15168674	15165746:15165906	15163967:15164078	N/A	NM_000304,NM_153321	chr17:15163967-15168674
AFE	chr17:+:PNMT:AFE:0	chr17	+	37824234:37824323	37824706:37824930	37825882:37826089	N/A	NR_073461,NM_002686	chr17:37824234-37826089
A3SS	chr17:-:POLDIP2:A3SS:0	chr17	-	26682821:26682902	26681514:26681611	26681514:26681557	N/A	NM_001290145,NM_015584	chr17:26681514-26682902
CAS	chr17:+:PPM1E:CAS:0	chr17	+	57033010:57033128	57043055:57043254	57046900:57047088	N/A	NR_048561,NM_014906	chr17:57033010-57047088
AFE	chr17:+:PPP1R1B:AFE:0	chr17	+	37783177:37783726	37784751:37784875	37785423:37785483	N/A	NM_032192,NM_001242464	chr17:37783177-37785483
AFE	chr17:+:PPP1R1B:AFE:1	chr17	+	37783177:37783726	37784751:37784959	37785423:37785483	N/A	NM_032192,NM_181505	chr17:37783177-37785483
AFE	chr17:+:PRAC2:AFE:0	chr17	+	46800530:46800675	46801054:46801133	46801690:46802120	N/A	NM_001282275,NM_001282276	chr17:46800530-46802120
AFE	chr17:+:PRCD:AFE:0	chr17	+	74523668:74523915	74536121:74536297	74536587:74536655	N/A	NR_033357,NM_001077620	chr17:74523668-74536655
AFE	chr17:+:PRKAR1A:AFE:0	chr17	+	66409764:66409936	66507921:66508283	66511535:66511717	N/A	NM_001278433,NM_212471	chr17:66409764-66511717
AFE	chr17:+:PRKAR1A:AFE:1	chr17	+	66409764:66409936	66508520:66508689	66511535:66511717	N/A	NM_001278433,NM_002734	chr17:66409764-66511717
AFE	chr17:+:PRKAR1A:AFE:2	chr17	+	66409764:66409936	66508520:66508720	66511535:66511717	N/A	NM_001278433,NM_212472	chr17:66409764-66511717
AFE	chr17:+:PRKAR1A:AFE:3	chr17	+	66507921:66508283	66508520:66508689	66511535:66511717	N/A	NM_212471,NM_002734	chr17:66507921-66511717
AFE	chr17:+:PRKAR1A:AFE:4	chr17	+	66507921:66508283	66508520:66508720	66511535:66511717	N/A	NM_212471,NM_212472	chr17:66507921-66511717
ALE	chr17:+:PRKAR1A:ALE:0	chr17	+	66526061:66526142	66526418:66529570	66547225:66547457	N/A	NM_001276290,NM_001276289;NM_001276290,NM_001278433;NM_001276290,NM_002734;NM_001276290,NM_212471;NM_001276290,NM_212472	chr17:66526061-66547457
CAS	chr17:+:PRPSAP2:CAS:0	chr17	+	18827227:18827297	18832124:18832270	18833853:18834599	N/A	NM_001243940,NM_001243936;NM_001243940,NM_001243941;NM_001243940,NM_001243942;NM_001243940,NM_002767	chr17:18827227-18834599
AFE	chr17:+:PRPSAP2:AFE:0	chr17	+	18759612:18759742	18761381:18761574	18768782:18768877	N/A	NM_001243936,NM_002767;NM_001243942,NM_002767	chr17:18759612-18768877
AFE	chr17:+:PRPSAP2:AFE:1	chr17	+	18761381:18761574	18768782:18768877	18769115:18769265	N/A	NM_001243941,NM_001243940	chr17:18761381-18769265
A3SS	chr17:+:PRR29:A3SS:0	chr17	+	62075711:62075784	62076067:62076142	62076088:62076142	N/A	NM_001191030,NM_001164257;NM_001191030,NM_001191029;NM_001191030,NM_001191031	chr17:62075711-62076142
A3SS	chr17:+:PSMB3:A3SS:0	chr17	+	36912136:36912243	36916684:36916861	36916761:36916861	N/A	NR_104195,NM_002795	chr17:36912136-36916861
A5SS	chr17:-:PSMC3IP:A5SS:0	chr17	-	40726117:40726228	40725837:40726228	40725496:40725641	N/A	NM_001256014,NR_045669;NM_001256015,NR_045669;NM_001256016,NR_045669;NM_016556,NR_045669	chr17:40725496-40726228
A5SS	chr17:-:PSMC3IP:A5SS:1	chr17	-	40726214:40726228	40725837:40726228	40725496:40725641	N/A	NR_045670,NR_045669;NR_045671,NR_045669	chr17:40725496-40726228
A5SS	chr17:-:PSMC3IP:A5SS:2	chr17	-	40726214:40726228	40726117:40726228	40725496:40725641	N/A	NR_045670,NM_001256014;NR_045670,NM_001256015;NR_045670,NM_001256016;NR_045670,NM_016556;NR_045671,NM_001256014;NR_045671,NM_001256015;NR_045671,NM_001256016;NR_045671,NM_016556	chr17:40725496-40726228
A5SS	chr17:-:PSMC3IP:A5SS:3	chr17	-	40729231:40729320	40729098:40729320	40726117:40726228	N/A	NM_001256014,NM_001256015;NM_013290,NM_001256015;NM_016556,NM_001256015	chr17:40726117-40729320
A3SS	chr17:-:PSMC3IP:A3SS:0	chr17	-	40726117:40726228	40725496:40725641	40725496:40725605	N/A	NM_013290,NM_001256014;NM_013290,NM_001256015;NM_013290,NM_001256016;NM_013290,NM_016556	chr17:40725496-40726228
AFE	chr17:+:PSMC5:AFE:0	chr17	+	61904770:61904874	61905044:61905283	61905498:61905569	N/A	NM_002805,NM_001199163	chr17:61904770-61905569
